종목구분,NO,시즌,라운드구분,라운드세부,일자, 요일구분,요일,채널구분,채널,남여구분,방송형태,홈,어웨이,시작시간,종료시간,방영길이,가구 시청률,케이블가구 시청률,개인 시청자수,MF2544,소속도시,구단홈구장
프로배구,51,2021-2022,정규리그,2라운드,2021-11-20 00:00:00,주말,토요일,케이블,SBS Sports,남자부,생방송,OK금융그룹,현대캐피탈,13:53:17,16:30:58,02:37:42,0.6808,0.81166,134774.0,17071.0,부산광역시,부산금정체육관
프로배구,52,2021-2022,정규리그,2라운드,2021-11-21 00:00:00,주말,일요일,케이블,KBSN스포츠,남자부,생방송,KB손해보험,한국전력,13:53:33,15:44:35,01:51:03,0.59733,0.77696,122062.0,10930.0,의정부시,의정부체육관
프로배구,53,2021-2022,정규리그,2라운드,2021-11-21 00:00:00,주말,일요일,케이블,SBS Sports,여자부,생방송,한국도로공사,KGC인삼공사,15:52:48,17:39:03,01:46:16,1.09762,1.05726,220078.0,37710.0,김천시,김천실내체육관
프로배구,54,2021-2022,정규리그,2라운드,2021-11-23 00:00:00,주중,화요일,케이블,KBSN스포츠,남자부,생방송,우리카드,OK금융그룹,18:52:22,20:35:26,01:43:05,0.45839,0.52788,77159.0,11623.0,서울특별시,장충체육관
프로배구,55,2021-2022,정규리그,2라운드,2021-11-23 00:00:00,주중,화요일,케이블,SBS Sports,여자부,생방송,흥국생명,IBK기업은행,18:51:54,20:47:34,01:55:41,1.28044,1.44944,285711.0,66171.0,인천광역시,인천삼산월드체육관
프로배구,56,2021-2022,정규리그,2라운드,2021-11-24 00:00:00,주중,수요일,케이블,KBSN스포츠,남자부,생방송,대한항공,KB손해보험,18:52:58,21:33:16,02:40:19,0.48548,0.71168,104504.0,24643.0,인천광역시,인천계양체육관
프로배구,57,2021-2022,정규리그,2라운드,2021-11-24 00:00:00,주중,수요일,케이블,SBS Sports,여자부,생방송,GS칼텍스,한국도로공사,18:54:13,21:45:54,02:51:42,1.27957,1.07929,273292.0,54814.0,서울특별시,장충체육관
프로배구,58,2021-2022,정규리그,2라운드,2021-11-25 00:00:00,주중,목요일,케이블,KBSN스포츠,남자부,생방송,한국전력,삼성화재,18:52:51,20:35:45,01:42:55,0.51579,0.66948,102294.0,12510.0,수원시,수원실내체육관
프로배구,59,2021-2022,정규리그,2라운드,2021-11-25 00:00:00,주중,목요일,케이블,SBS Sports,여자부,생방송,KGC인삼공사,페퍼저축은행,18:53:37,20:31:06,01:37:30,0.75029,0.65225,155030.0,20736.0,대전광역시,대전충무체육관
프로배구,60,2021-2022,정규리그,2라운드,2021-11-26 00:00:00,주중,금요일,케이블,KBSN스포츠,남자부,생방송,현대캐피탈,우리카드,18:53:21,21:38:19,02:44:59,0.6091,0.63801,121673.0,20613.0,천안시,천안유관순체육관
프로배구,61,2021-2022,정규리그,2라운드,2021-11-26 00:00:00,주중,금요일,케이블,SBS Sports,여자부,생방송,현대건설,흥국생명,18:54:15,21:09:29,02:15:15,0.99215,0.93915,195987.0,24748.0,수원시,수원실내체육관
프로배구,62,2021-2022,정규리그,2라운드,2021-11-27 00:00:00,주말,토요일,케이블,KBSN스포츠,여자부,생방송,IBK기업은행,GS칼텍스,15:53:53,17:38:39,01:44:47,0.78779,0.77965,170616.0,57106.0,화성시,화성실내체육관
